order_id,customer_name,customer_email,order_date,updated_at,status,currency,amount
ORD-108579,William Garcia,william.garcia3662@example.com,02 Mar 2026,2026-03-02T14:33:28Z,shipped,USD,798.37
ORD-109214,John Thompson,joHn.tHOMpsON9507@example.Com,2025-12-18,2025-12-18T09:57:51Z,completed,USD,"1,157.97"
ORD-103574,美玲 Davis,美玲.davis2447@mail.test,12/31/2025,2025-12-31T19:23:24Z,completed,USD,"$2,368.43"
ORD-108196,健太 Martin,健太.martin3248@example.com,06/14/2026,2026-06-14T11:07:35Z,completed,USD,1918.74
ORD-102999,Matthew Wilson,matthew.wilson9358@acme.test,2026-05-24,2026-05-24T00:49:06Z,completed,USD,"2,168.30"
ORD-101834,Jennifer Brown,jennifer.brown5917@shop.example,2025-07-15,2025-07-15T22:14:21Z,cancelled,USD,"1,294.83"
ORD-103879,Joseph Harris,joseph.harris6120@acme.test,17 Jul 2025,2025-07-17T11:50:38Z,completed,USD,729.61
ORD-106775,Barbara Taylor,barbara.taylor6638@shop.example,2025-08-28,2025-08-28T13:09:39Z,completed,USD,691.51
ORD-104656,Mark Martin,MArK.MArtiN6803@maIl.TeSt,12/25/2025,2025-12-25T15:18:04Z,completed,USD,1775.66
ORD-108428,James Clark,james.clark1656@shop.example,2025-08-29,2025-08-29T23:44:19Z,completed,USD,342.28
ORD-102813,美玲 Lewis,美玲.lewis3797@mail.test,20 Jan 2026,2026-01-20T05:49:10Z,shipped,EUR,660.48
ORD-106233,Richard Wilson,richard.wilson5119@acme.test,11/29/2025,2025-11-29T02:16:42Z,shipped,EUR,25.86
ORD-109743,Betty Hall,betty.hall2968@shop.example,07/24/2025,2025-07-24T18:26:17Z,completed,USD,192.03
ORD-109781,François García,françois.garcia6636@mail.test,16 Dec 2025,2025-12-16T04:37:39Z,completed,EUR,"1,296.35"
ORD-107815,Łukasz Young,łukasz.young1693@example.com,2026-04-14,2026-04-14T06:49:33Z,completed,USD,"$1,499.59"
